Organism,Agrobacterium_tumefaciens,Bordetella_bronchiseptica,Bordetella_parapertussis,Bordetella_pertussis,Bradyrhizobium_japonicum,Caulobacter_crescentus,Chromobacterium_violaceum,Escherichia_coli,Mesorhizobium_loti,Nitrosomonas_europaea,Pseudomonas_aeruginosa,Pseudomonas_putida,Pseudomonas_syringae,Ralstonia_solanacearum,Salmonella_enterica,Shewanella_oneidensis,Shigella_flexneri,Sinorhizobium_meliloti,Vibrio_cholerae,Vibrio_parahaemolyticus,Vibrio_vulnificus,Xanthomonas_axonopodis,Xanthomonas_campestris,Yersinia_pestis
Pseudomonas_aeruginosa,9.0,6.5,6.5,7.5,6.0,9.5,8.5,4.0,9.5,9.0,0,9.0,9.0,8.5,9.5,10.0,9.0,9.5,9.5,9.0,9.0,8.5,8.5,9.5
Pseudomonas_putida,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,0,10.0,9.5,10.5,11.0,10.0,10.5,10.5,10.0,10.0,9.5,9.5,10.5
Pseudomonas_syringae,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,10.0,0,9.5,10.5,11.0,10.0,10.5,10.5,10.0,10.0,9.5,9.5,10.5
Ralstonia_solanacearum,9.5,7.0,7.0,8.0,6.5,10.0,9.0,4.5,10.0,9.5,8.5,9.5,9.5,0,10.0,10.5,9.5,10.0,10.0,9.5,9.5,9.0,9.0,10.0
Salmonella_enterica,10.5,8.0,8.0,9.0,7.5,11.0,10.0,5.5,11.0,10.5,9.5,10.5,10.5,10.0,0,11.5,10.5,11.0,11.0,10.5,10.5,10.0,10.0,11.0
Shewanella_oneidensis,11.0,8.5,8.5,9.5,8.0,11.5,10.5,6.0,11.5,11.0,10.0,11.0,11.0,10.5,11.5,0,11.0,11.5,11.5,11.0,11.0,10.5,10.5,11.5
Shigella_flexneri,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,10.0,10.0,9.5,10.5,11.0,0,10.5,10.5,10.0,10.0,9.5,9.5,10.5
Sinorhizobium_meliloti,10.5,8.0,8.0,9.0,7.5,11.0,10.0,5.5,11.0,10.5,9.5,10.5,10.5,10.0,11.0,11.5,10.5,0,11.0,10.5,10.5,10.0,10.0,11.0
Vibrio_cholerae,10.5,8.0,8.0,9.0,7.5,11.0,10.0,5.5,11.0,10.5,9.5,10.5,10.5,10.0,11.0,11.5,10.5,11.0,0,10.5,10.5,10.0,10.0,11.0
Vibrio_parahaemolyticus,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,10.0,10.0,9.5,10.5,11.0,10.0,10.5,10.5,0,10.0,9.5,9.5,10.5
Vibrio_vulnificus,10.0,7.5,7.5,8.5,7.0,10.5,9.5,5.0,10.5,10.0,9.0,10.0,10.0,9.5,10.5,11.0,10.0,10.5,10.5,10.0,0,9.5,9.5,10.5
Xanthomonas_axonopodis,9.5,7.0,7.0,8.0,6.5,10.0,9.0,4.5,10.0,9.5,8.5,9.5,9.5,9.0,10.0,10.5,9.5,10.0,10.0,9.5,9.5,0,9.0,10.0
Xanthomonas_campestris,9.5,7.0,7.0,8.0,6.5,10.0,9.0,4.5,10.0,9.5,8.5,9.5,9.5,9.0,10.0,10.5,9.5,10.0,10.0,9.5,9.5,9.0,0,10.0
Yersinia_pestis,10.5,8.0,8.0,9.0,7.5,11.0,10.0,5.5,11.0,10.5,9.5,10.5,10.5,10.0,11.0,11.5,10.5,11.0,11.0,10.5,10.5,10.0,10.0,0
